SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,Administrative,Administrative_Duration,BounceRates,ExitRates,Informational,Informational_Duration,PageValues,ProductRelated,ProductRelated_Duration
0.4,May,2,2,3,2,Returning_Visitor,False,False,0,2.0234474152326483,0.0004852285432236184,0.017238111985041556,0,0.32172602415080126,0.06640851065614106,4,98.89817074239691
0.6,Dec,3,2,7,2,New_Visitor,False,False,3,25.63566857874393,0.00014512853613519257,0.006662539339643659,0,0.7651799321174156,0.12268291688186028,21,976.1755968877424
0.0,May,1,8,1,4,Returning_Visitor,True,False,4,130.4294254951179,0.0005517156400244836,0.020816087864945338,0,9.709046793835505,0.12135287928469718,9,224.01654781235408
0.0,Nov,3,2,1,13,Returning_Visitor,False,False,0,2.471029765903947,0.00042517042096781746,0.03324600302865089,0,0.262221574783278,0.10828711617386651,1,85.78405962586403
1.0,May,6,2,9,3,Returning_Visitor,True,False,1,33.33513975312365,0.02854113847099387,0.03677984271826148,1,20.713189118183582,0.12317244460859392,51,3011.8377586917222
0.0,Aug,3,2,4,2,Returning_Visitor,False,False,9,375.2233505589881,0.0019976183656956557,0.022011431087656408,0,11.428343081474306,4.959597949378059,97,2634.2333045989717
0.0,May,2,2,3,1,Returning_Visitor,False,False,0,0.8350905001163412,0.09631781152870701,0.19261900260601128,0,0.481547772884322,0.040824143846748435,3,43.89884419632809
0.0,Mar,4,1,1,1,Returning_Visitor,False,False,1,11.587447555622017,0.003615050191392015,0.03507305489867115,1,479.97352159441135,0.3201821935463283,65,3371.778675448809
0.0,Mar,2,2,2,1,Returning_Visitor,False,False,2,18.857129720560586,0.0006033344662949882,0.01999534322738312,0,0.5631734728812703,0.13111993964505958,5,89.4574882411566
0.0,Mar,2,4,3,2,New_Visitor,False,False,2,20.779784596711398,0.0005354160687149761,0.009771524881424146,1,40.48933899402616,28.00673542745901,43,2901.5979565897337
0.0,Dec,2,2,1,20,Returning_Visitor,False,False,0,0.23956585526467492,0.19895305946931693,0.19874538433763592,0,0.04992616176600479,0.682939819737069,0,11.65857817368074
0.0,Sep,2,2,1,2,New_Visitor,False,False,3,114.05830641090873,0.00032901808387818927,0.010522134217045627,0,0.37231338024134697,0.09087819879147273,26,300.5660083028567
0.0,May,8,13,9,20,New_Visitor,False,True,1,51.54289718554777,0.0008498156811993126,0.009472636219081877,0,1.152185857295872,75.81116667876368,13,408.09368329303413
0.0,Nov,1,1,7,2,Returning_Visitor,True,False,1,74.43487525582313,0.002160976976611943,0.00908631425257419,2,161.96938088021898,0.13231707363595205,25,164.92300734768446
